Site,Year,Cone Production,Failed Crop,Poor Crop,Fair Crop,Good Crop,Bumper Crop,Notes
Louisiana (Kisatchie NF),2008,24.3,,1,,,,
Louisiana (Kisatchie NF),2009,58,,,,1,,
Louisiana (Kisatchie NF),2010,6.3,1,,,,,
Louisiana (Kisatchie NF),2011,31.3,,,1,,,
Louisiana (Kisatchie NF),2012,5.8,1,,,,,
Louisiana (Kisatchie NF),2013,4.7,1,,,,,
Louisiana (Kisatchie NF),2014,222.8,,,,,1,
Louisiana (Kisatchie NF),2015,17.3,,1,,,,
Louisiana (Kisatchie NF),2016,1.5,1,,,,,
Louisiana (Kisatchie NF),2017,27.5,,,1,,,
Louisiana (Kisatchie NF),2018,19.2,,1,,,,
Louisiana (Kisatchie NF),2019,44.4,,,1,,,
Louisiana (Kisatchie NF),2020,10.3,,1,,,,
Louisiana (Kisatchie NF),2021,23.6,,1,,,,
Louisiana (Kisatchie NF),2022,37.3,,,1,,,
Louisiana (Kisatchie NF),2023,36,,,1,,,
Louisiana (Kisatchie NF),2024,12.1,,1,,,,
South Alabama (Escambia EF),1958,63,,,,1,,One of eight years that cone study was conducted only at Escambia Experimental Forest
South Alabama (Escambia EF),1959,9,1,,,,,One of eight years that cone study was conducted only at Escambia Experimental Forest
South Alabama (Escambia EF),1960,19,,1,,,,One of eight years that cone study was conducted only at Escambia Experimental Forest
South Alabama (Escambia EF),1961,43,,,1,,,One of eight years that cone study was conducted only at Escambia Experimental Forest
South Alabama (Escambia EF),1962,8,1,,,,,One of eight years that cone study was conducted only at Escambia Experimental Forest
South Alabama (Escambia EF),1963,1,1,,,,,One of eight years that cone study was conducted only at Escambia Experimental Forest
South Alabama (Escambia EF),1964,12,,1,,,,One of eight years that cone study was conducted only at Escambia Experimental Forest
South Alabama (Escambia EF),1965,4,1,,,,,One of eight years that cone study was conducted only at Escambia Experimental Forest
South Alabama (Escambia EF),1966,1,1,,,,,
South Alabama (Escambia EF),1967,53.4,,,,1,,
South Alabama (Escambia EF),1968,34.4,,,1,,,
South Alabama (Escambia EF),1969,15.8,,1,,,,
South Alabama (Escambia EF),1970,2.2,1,,,,,
South Alabama (Escambia EF),1971,21.6,,1,,,,
South Alabama (Escambia EF),1972,5.4,1,,,,,
South Alabama (Escambia EF),1973,28.3,,,1,,,
South Alabama (Escambia EF),1974,24.7,,,1,,,
South Alabama (Escambia EF),1975,15.7,,1,,,,
South Alabama (Escambia EF),1976,3.9,1,,,,,
South Alabama (Escambia EF),1977,19.8,,1,,,,
South Alabama (Escambia EF),1978,4.7,1,,,,,
South Alabama (Escambia EF),1979,11.3,,1,,,,
South Alabama (Escambia EF),1980,3,1,,,,,
South Alabama (Escambia EF),1981,6.6,1,,,,,
South Alabama (Escambia EF),1982,13.1,,1,,,,
South Alabama (Escambia EF),1983,14.6,,1,,,,
South Alabama (Escambia EF),1984,19.2,,1,,,,
South Alabama (Escambia EF),1985,13.3,,1,,,,
South Alabama (Escambia EF),1986,31.3,,,1,,,
South Alabama (Escambia EF),1987,104.2,,,,,1,
South Alabama (Escambia EF),1988,6.5,1,,,,,
South Alabama (Escambia EF),1989,0.2,1,,,,,
South Alabama (Escambia EF),1990,43.9,,,1,,,
South Alabama (Escambia EF),1991,23.8,,1,,,,
South Alabama (Escambia EF),1992,1,1,,,,,
South Alabama (Escambia EF),1993,128.1,,,,,1,
South Alabama (Escambia EF),1994,14.8,,1,,,,
South Alabama (Escambia EF),1995,7.6,1,,,,,
South Alabama (Escambia EF),1996,157.2,,,,,1,
South Alabama (Escambia EF),1997,1.4,1,,,,,
South Alabama (Escambia EF),1998,38.5,,,1,,,
South Alabama (Escambia EF),1999,9.7,1,,,,,
South Alabama (Escambia EF),2000,59.4,,,,1,,
South Alabama (Escambia EF),2001,57.4,,,,1,,
South Alabama (Escambia EF),2002,2.2,1,,,,,
South Alabama (Escambia EF),2003,103.4,,,,,1,
South Alabama (Escambia EF),2004,8.4,1,,,,,
South Alabama (Escambia EF),2005,44.2,,,1,,,
South Alabama (Escambia EF),2006,18.4,,1,,,,
South Alabama (Escambia EF),2007,1,1,,,,,
South Alabama (Escambia EF),2008,57.1,,,,1,,
South Alabama (Escambia EF),2009,40.5,,,1,,,
South Alabama (Escambia EF),2010,3.3,1,,,,,
South Alabama (Escambia EF),2011,73.2,,,,1,,
South Alabama (Escambia EF),2012,7.2,1,,,,,
South Alabama (Escambia EF),2013,11.3,,1,,,,
South Alabama (Escambia EF),2014,159.6,,,,,1,
South Alabama (Escambia EF),2015,18.6,,1,,,,
South Alabama (Escambia EF),2016,0.5,1,,,,,
South Alabama (Escambia EF),2017,102.2,,,,,1,
South Alabama (Escambia EF),2018,5.4,1,,,,,
South Alabama (Escambia EF),2019,11,,1,,,,
South Alabama (Escambia EF),2020,31.1,,,1,,,
South Alabama (Escambia EF),2021,9.6,1,,,,,
South Alabama (Escambia EF),2022,27.4,,,1,,,
South Alabama (Escambia EF),2023,7.2,1,,,,,
South Alabama (Escambia EF),2024,1,1,,,,,
West Florida (Blackwater R. SF),1966,,,,,,,
West Florida (Blackwater R. SF),1967,13.8,,1,,,,
West Florida (Blackwater R. SF),1968,2.5,1,,,,,
West Florida (Blackwater R. SF),1969,2.5,1,,,,,
West Florida (Blackwater R. SF),1970,1.7,1,,,,,
West Florida (Blackwater R. SF),1971,29.2,,,1,,,
West Florida (Blackwater R. SF),1972,0.9,1,,,,,
West Florida (Blackwater R. SF),1973,14.4,,1,,,,
West Florida (Blackwater R. SF),1974,3,1,,,,,
West Florida (Blackwater R. SF),1975,17.5,,1,,,,
West Florida (Blackwater R. SF),1976,1.5,1,,,,,
West Florida (Blackwater R. SF),1977,9.9,1,,,,,
West Florida (Blackwater R. SF),1978,0.8,1,,,,,
West Florida (Blackwater R. SF),1979,5.5,1,,,,,
West Florida (Blackwater R. SF),1980,0.5,1,,,,,
West Florida (Blackwater R. SF),1981,1.2,1,,,,,
West Florida (Blackwater R. SF),1982,3.2,1,,,,,
West Florida (Blackwater R. SF),1983,11.8,,1,,,,
West Florida (Blackwater R. SF),1984,12.3,,1,,,,
West Florida (Blackwater R. SF),1985,8.5,1,,,,,
West Florida (Blackwater R. SF),1986,19.2,,1,,,,
West Florida (Blackwater R. SF),1987,58.7,,,,1,,
West Florida (Blackwater R. SF),1988,8.2,1,,,,,
West Florida (Blackwater R. SF),1989,2.1,1,,,,,
West Florida (Blackwater R. SF),1990,35.5,,,1,,,
West Florida (Blackwater R. SF),1991,33.7,,,1,,,
West Florida (Blackwater R. SF),1992,8.3,1,,,,,
West Florida (Blackwater R. SF),1993,89.8,,,,1,,
West Florida (Blackwater R. SF),1994,9.7,1,,,,,
West Florida (Blackwater R. SF),1995,10.9,,1,,,,
West Florida (Blackwater R. SF),1996,206.4,,,,,1,
West Florida (Blackwater R. SF),1997,8.2,1,,,,,
West Florida (Blackwater R. SF),1998,27.1,,,1,,,
West Florida (Blackwater R. SF),1999,13,,1,,,,
West Florida (Blackwater R. SF),2000,30.5,,,1,,,
West Florida (Blackwater R. SF),2001,8.8,1,,,,,
West Florida (Blackwater R. SF),2002,3.7,1,,,,,
West Florida (Blackwater R. SF),2003,69.4,,,,1,,
West Florida (Blackwater R. SF),2004,24.9,,1,,,,
West Florida (Blackwater R. SF),2005,23,,1,,,,
West Florida (Blackwater R. SF),2006,4.1,1,,,,,
West Florida (Blackwater R. SF),2007,0,1,,,,,
West Florida (Blackwater R. SF),2008,38.6,,,1,,,
West Florida (Blackwater R. SF),2009,31.6,,,1,,,
West Florida (Blackwater R. SF),2010,4,1,,,,,
West Florida (Blackwater R. SF),2011,141.2,,,,,1,
West Florida (Blackwater R. SF),2012,1,1,,,,,
West Florida (Blackwater R. SF),2013,2.6,1,,,,,
West Florida (Blackwater R. SF),2014,149,,,,,1,
West Florida (Blackwater R. SF),2015,16.8,,1,,,,
West Florida (Blackwater R. SF),2016,1,1,,,,,
West Florida (Blackwater R. SF),2017,154,,,,,1,
West Florida (Blackwater R. SF),2018,9.2,1,,,,,
West Florida (Blackwater R. SF),2019,24,,1,,,,
West Florida (Blackwater R. SF),2020,51.3,,,,1,,
West Florida (Blackwater R. SF),2021,11.2,,1,,,,
West Florida (Blackwater R. SF),2022,110.4,,,,,1,
West Florida (Blackwater R. SF),2023,20.2,,1,,,,
West Florida (Blackwater R. SF),2024,6.6,1,,,,,
West Florida (Eglin AFB),1966,,,,,,,
West Florida (Eglin AFB),1967,,,,,,,
West Florida (Eglin AFB),1968,0.2,1,,,,,
West Florida (Eglin AFB),1969,0.6,1,,,,,
West Florida (Eglin AFB),1970,0.9,1,,,,,
West Florida (Eglin AFB),1971,4.1,1,,,,,
West Florida (Eglin AFB),1972,3.5,1,,,,,
West Florida (Eglin AFB),1973,10.6,,1,,,,
West Florida (Eglin AFB),1974,1.6,1,,,,,
West Florida (Eglin AFB),1975,10.6,,1,,,,
West Florida (Eglin AFB),1976,1.7,1,,,,,
West Florida (Eglin AFB),1977,1.1,1,,,,,
West Florida (Eglin AFB),1978,0.3,1,,,,,
West Florida (Eglin AFB),1979,4.4,1,,,,,
West Florida (Eglin AFB),1980,0.6,1,,,,,
West Florida (Eglin AFB),1981,1,1,,,,,
West Florida (Eglin AFB),1982,8.1,1,,,,,
West Florida (Eglin AFB),1983,22.9,,1,,,,
West Florida (Eglin AFB),1984,5.9,1,,,,,
West Florida (Eglin AFB),1985,6.1,1,,,,,
West Florida (Eglin AFB),1986,28.3,,,1,,,
West Florida (Eglin AFB),1987,18.1,,1,,,,
West Florida (Eglin AFB),1988,,,,,,,
West Florida (Eglin AFB),1989,,,,,,,
West Florida (Eglin AFB),1990,,,,,,,
West Florida (Eglin AFB),1991,,,,,,,
West Florida (Eglin AFB),1992,,,,,,,
West Florida (Eglin AFB),1993,,,,,,,
West Florida (Eglin AFB),1994,20.1,,1,,,,
West Florida (Eglin AFB),1995,10.1,,1,,,,
West Florida (Eglin AFB),1996,87.8,,,,1,,
West Florida (Eglin AFB),1997,6.7,1,,,,,
West Florida (Eglin AFB),1998,11.3,,1,,,,
West Florida (Eglin AFB),1999,15.6,,1,,,,
West Florida (Eglin AFB),2000,15.8,,1,,,,
West Florida (Eglin AFB),2001,8.4,1,,,,,
West Florida (Eglin AFB),2002,7.9,1,,,,,
West Florida (Eglin AFB),2003,31.8,,,1,,,
West Florida (Eglin AFB),2004,43.6,,,1,,,
West Florida (Eglin AFB),2005,57.1,,,,1,,
West Florida (Eglin AFB),2006,16.9,,1,,,,
West Florida (Eglin AFB),2007,0.8,1,,,,,
West Florida (Eglin AFB),2008,30.2,,,1,,,
West Florida (Eglin AFB),2009,14.3,,1,,,,
West Florida (Eglin AFB),2010,3.7,1,,,,,
West Florida (Eglin AFB),2011,65.1,,,,1,,
West Florida (Eglin AFB),2012,0.6,1,,,,,
West Florida (Eglin AFB),2013,1.8,1,,,,,
West Florida (Eglin AFB),2014,74.9,,,,1,,
West Florida (Eglin AFB),2015,2.8,1,,,,,
West Florida (Eglin AFB),2016,2.6,1,,,,,
West Florida (Eglin AFB),2017,34.9,,,1,,,
West Florida (Eglin AFB),2018,0.4,1,,,,,
West Florida (Eglin AFB),2019,15.1,,1,,,,
West Florida (Eglin AFB),2020,20.5,,1,,,,
West Florida (Eglin AFB),2021,0.8,1,,,,,
West Florida (Eglin AFB),2022,86.5,,,,1,,
West Florida (Eglin AFB),2023,7.1,1,,,,,
West Florida (Eglin AFB),2024,0.3,1,,,,,
West Florida (Apalachicola NF),1966,0.6,1,,,,,
West Florida (Apalachicola NF),1967,18.7,,1,,,,
West Florida (Apalachicola NF),1968,9.9,1,,,,,
West Florida (Apalachicola NF),1969,5.2,1,,,,,
West Florida (Apalachicola NF),1970,1,1,,,,,
West Florida (Apalachicola NF),1971,14.4,,1,,,,
West Florida (Apalachicola NF),1972,0.2,1,,,,,
West Florida (Apalachicola NF),1973,27.2,,,1,,,
West Florida (Apalachicola NF),1974,9.6,1,,,,,
West Florida (Apalachicola NF),1975,,,,,,,
West Florida (Apalachicola NF),1976,22.9,,1,,,,
West Florida (Apalachicola NF),1977,89.7,,,,1,,
West Florida (Apalachicola NF),1978,2.7,1,,,,,
West Florida (Apalachicola NF),1979,,,,,,,
West Florida (Apalachicola NF),1980,,,,,,,
West Florida (Apalachicola NF),1981,,,,,,,
West Florida (Apalachicola NF),1982,,,,,,,
West Florida (Apalachicola NF),1983,,,,,,,
West Florida (Apalachicola NF),1984,,,,,,,
West Florida (Apalachicola NF),1985,,,,,,,
West Florida (Apalachicola NF),1986,,,,,,,
West Florida (Apalachicola NF),1987,,,,,,,
West Florida (Apalachicola NF),1988,,,,,,,
West Florida (Apalachicola NF),1989,,,,,,,
West Florida (Apalachicola NF),1990,,,,,,,
West Florida (Apalachicola NF),1991,,,,,,,
West Florida (Apalachicola NF),1992,76.6,,,,1,,
West Florida (Apalachicola NF),1993,5.7,1,,,,,
West Florida (Apalachicola NF),1994,11.1,,1,,,,
West Florida (Apalachicola NF),1995,17.9,,1,,,,
West Florida (Apalachicola NF),1996,190.8,,,,,1,
West Florida (Apalachicola NF),1997,38.6,,,1,,,
West Florida (Apalachicola NF),1998,1.2,1,,,,,
West Florida (Apalachicola NF),1999,3.8,1,,,,,
West Florida (Apalachicola NF),2000,22,,1,,,,
West Florida (Apalachicola NF),2001,9.8,1,,,,,
West Florida (Apalachicola NF),2002,2.2,1,,,,,
West Florida (Apalachicola NF),2003,13.8,,1,,,,
West Florida (Apalachicola NF),2004,37.9,,,1,,,
West Florida (Apalachicola NF),2005,36.1,,,1,,,
West Florida (Apalachicola NF),2006,14,,1,,,,
West Florida (Apalachicola NF),2007,2.8,1,,,,,
West Florida (Apalachicola NF),2008,38.4,,,1,,,
West Florida (Apalachicola NF),2009,6,1,,,,,
West Florida (Apalachicola NF),2010,0.8,1,,,,,
West Florida (Apalachicola NF),2011,23.8,,1,,,,
West Florida (Apalachicola NF),2012,1.8,1,,,,,
West Florida (Apalachicola NF),2013,0.8,1,,,,,
West Florida (Apalachicola NF),2014,7,1,,,,,
West Florida (Apalachicola NF),2015,21.4,,1,,,,
West Florida (Apalachicola NF),2016,0.6,1,,,,,
West Florida (Apalachicola NF),2017,35.6,,,1,,,
West Florida (Apalachicola NF),2018,0.8,1,,,,,
West Florida (Apalachicola NF),2019,5.8,1,,,,,
West Florida (Apalachicola NF),2020,13.6,,1,,,,
West Florida (Apalachicola NF),2021,0.2,1,,,,,
West Florida (Apalachicola NF),2022,35.8,,,1,,,
West Florida (Apalachicola NF),2023,1.3,1,,,,,
West Florida (Apalachicola NF),2024,0.6,1,,,,,
SW Georgia (Jones Center),1966,,,,,,,"Data collected at Southlands Forest Research Center (Decatur Co., GA) from 1967-1996"
SW Georgia (Jones Center),1967,2.7,1,,,,,"Data collected at Southlands Forest Research Center (Decatur Co., GA) from 1967-1996"
SW Georgia (Jones Center),1968,0.4,1,,,,,"Data collected at Southlands Forest Research Center (Decatur Co., GA) from 1967-1996"
SW Georgia (Jones Center),1969,0.8,1,,,,,"Data collected at Southlands Forest Research Center (Decatur Co., GA) from 1967-1996"
SW Georgia (Jones Center),1970,7.5,1,,,,,"Data collected at Southlands Forest Research Center (Decatur Co., GA) from 1967-1996"
SW Georgia (Jones Center),1971,1.5,1,,,,,"Data collected at Southlands Forest Research Center (Decatur Co., GA) from 1967-1996"
SW Georgia (Jones Center),1972,0.4,1,,,,,"Data collected at Southlands Forest Research Center (Decatur Co., GA) from 1967-1996"
SW Georgia (Jones Center),1973,7.2,1,,,,,"Data collected at Southlands Forest Research Center (Decatur Co., GA) from 1967-1996"
SW Georgia (Jones Center),1974,0.3,1,,,,,"Data collected at Southlands Forest Research Center (Decatur Co., GA) from 1967-1996"
SW Georgia (Jones Center),1975,5,1,,,,,"Data collected at Southlands Forest Research Center (Decatur Co., GA) from 1967-1996"
SW Georgia (Jones Center),1976,1.6,1,,,,,"Data collected at Southlands Forest Research Center (Decatur Co., GA) from 1967-1996"
SW Georgia (Jones Center),1977,1.1,1,,,,,"Data collected at Southlands Forest Research Center (Decatur Co., GA) from 1967-1996"
SW Georgia (Jones Center),1978,1,1,,,,,"Data collected at Southlands Forest Research Center (Decatur Co., GA) from 1967-1996"
SW Georgia (Jones Center),1979,3.1,1,,,,,"Data collected at Southlands Forest Research Center (Decatur Co., GA) from 1967-1996"
SW Georgia (Jones Center),1980,2.3,1,,,,,"Data collected at Southlands Forest Research Center (Decatur Co., GA) from 1967-1996"
SW Georgia (Jones Center),1981,0.9,1,,,,,"Data collected at Southlands Forest Research Center (Decatur Co., GA) from 1967-1996"
SW Georgia (Jones Center),1982,1.7,1,,,,,"Data collected at Southlands Forest Research Center (Decatur Co., GA) from 1967-1996"
SW Georgia (Jones Center),1983,11,,1,,,,"Data collected at Southlands Forest Research Center (Decatur Co., GA) from 1967-1996"
SW Georgia (Jones Center),1984,1.5,1,,,,,"Data collected at Southlands Forest Research Center (Decatur Co., GA) from 1967-1996"
SW Georgia (Jones Center),1985,1.2,1,,,,,"Data collected at Southlands Forest Research Center (Decatur Co., GA) from 1967-1996"
SW Georgia (Jones Center),1986,19.4,,1,,,,"Data collected at Southlands Forest Research Center (Decatur Co., GA) from 1967-1996"
SW Georgia (Jones Center),1987,11.2,,1,,,,"Data collected at Southlands Forest Research Center (Decatur Co., GA) from 1967-1996"
SW Georgia (Jones Center),1988,1.2,1,,,,,"Data collected at Southlands Forest Research Center (Decatur Co., GA) from 1967-1996"
SW Georgia (Jones Center),1989,0.7,1,,,,,"Data collected at Southlands Forest Research Center (Decatur Co., GA) from 1967-1996"
SW Georgia (Jones Center),1990,50.3,,,,1,,"Data collected at Southlands Forest Research Center (Decatur Co., GA) from 1967-1996"
SW Georgia (Jones Center),1991,1.2,1,,,,,"Data collected at Southlands Forest Research Center (Decatur Co., GA) from 1967-1996"
SW Georgia (Jones Center),1992,0.2,1,,,,,"Data collected at Southlands Forest Research Center (Decatur Co., GA) from 1967-1996"
SW Georgia (Jones Center),1993,91.2,,,,1,,"Data collected at Southlands Forest Research Center (Decatur Co., GA) from 1967-1996"
SW Georgia (Jones Center),1994,24.9,,1,,,,"Data collected at Southlands Forest Research Center (Decatur Co., GA) from 1967-1996"
SW Georgia (Jones Center),1995,66.1,,,1,,,"Data collected at Southlands Forest Research Center (Decatur Co., GA) from 1967-1996"
SW Georgia (Jones Center),1996,123.7,,,,,1,"Data collected at Southlands Forest Research Center (Decatur Co., GA) from 1967-1996"
SW Georgia (Jones Center),1997,16.9,,1,,,,"Data collected at Jones Ecological Research Center (Baker Co., GA) from 1997+"
SW Georgia (Jones Center),1998,3.9,1,,,,,"Data collected at Jones Ecological Research Center (Baker Co., GA) from 1997+"
SW Georgia (Jones Center),1999,112.5,,,,,1,"Data collected at Jones Ecological Research Center (Baker Co., GA) from 1997+"
SW Georgia (Jones Center),2000,106.1,,,,,1,"Data collected at Jones Ecological Research Center (Baker Co., GA) from 1997+"
SW Georgia (Jones Center),2001,2.3,1,,,,,"Data collected at Jones Ecological Research Center (Baker Co., GA) from 1997+"
SW Georgia (Jones Center),2002,6.9,1,,,,,"Data collected at Jones Ecological Research Center (Baker Co., GA) from 1997+"
SW Georgia (Jones Center),2003,89.1,,,,1,,"Data collected at Jones Ecological Research Center (Baker Co., GA) from 1997+"
SW Georgia (Jones Center),2004,88.9,,,,1,,"Data collected at Jones Ecological Research Center (Baker Co., GA) from 1997+"
SW Georgia (Jones Center),2005,117.1,,,,,1,"Data collected at Jones Ecological Research Center (Baker Co., GA) from 1997+"
SW Georgia (Jones Center),2006,129.2,,,,,1,"Data collected at Jones Ecological Research Center (Baker Co., GA) from 1997+"
SW Georgia (Jones Center),2007,5.8,1,,,,,"Data collected at Jones Ecological Research Center (Baker Co., GA) from 1997+"
SW Georgia (Jones Center),2008,8.6,1,,,,,"Data collected at Jones Ecological Research Center (Baker Co., GA) from 1997+"
SW Georgia (Jones Center),2009,65.1,,,,1,,"Data collected at Jones Ecological Research Center (Baker Co., GA) from 1997+"
SW Georgia (Jones Center),2010,1.6,1,,,,,"Data collected at Jones Ecological Research Center (Baker Co., GA) from 1997+"
SW Georgia (Jones Center),2011,66.2,,,,1,,"Data collected at Jones Ecological Research Center (Baker Co., GA) from 1997+"
SW Georgia (Jones Center),2012,2.4,1,,,,,"Data collected at Jones Ecological Research Center (Baker Co., GA) from 1997+"
SW Georgia (Jones Center),2013,0.9,1,,,,,"Data collected at Jones Ecological Research Center (Baker Co., GA) from 1997+"
SW Georgia (Jones Center),2014,134.4,,,,,1,"Data collected at Jones Ecological Research Center (Baker Co., GA) from 1997+"
SW Georgia (Jones Center),2015,6.5,1,,,,,"Data collected at Jones Ecological Research Center (Baker Co., GA) from 1997+"
SW Georgia (Jones Center),2016,1.5,1,,,,,"Data collected at Jones Ecological Research Center (Baker Co., GA) from 1997+"
SW Georgia (Jones Center),2017,148.6,,,,,1,"Data collected at Jones Ecological Research Center (Baker Co., GA) from 1997+"
SW Georgia (Jones Center),2018,1.5,1,,,,,"Data collected at Jones Ecological Research Center (Baker Co., GA) from 1997+"
SW Georgia (Jones Center),2019,17.5,,1,,,,"Data collected at Jones Ecological Research Center (Baker Co., GA) from 1997+"
SW Georgia (Jones Center),2020,32.3,,,1,,,"Data collected at Jones Ecological Research Center (Baker Co., GA) from 1997+"
SW Georgia (Jones Center),2021,55.6,,,,1,,"Data collected at Jones Ecological Research Center (Baker Co., GA) from 1997+"
SW Georgia (Jones Center),2022,62.7,,,,1,,"Data collected at Jones Ecological Research Center (Baker Co., GA) from 1997+"
SW Georgia (Jones Center),2023,1,1,,,,,"Data collected at Jones Ecological Research Center (Baker Co., GA) from 1997+"
SW Georgia (Jones Center),2024,5.8,1,,,,,"Data collected at Jones Ecological Research Center (Baker Co., GA) from 1997+"
Red Hills (Tall Timbers),1966,,,,,,,
Red Hills (Tall Timbers),1967,,,,,,,
Red Hills (Tall Timbers),1968,,,,,,,
Red Hills (Tall Timbers),1969,,,,,,,
Red Hills (Tall Timbers),1970,,,,,,,
Red Hills (Tall Timbers),1971,,,,,,,
Red Hills (Tall Timbers),1972,,,,,,,
Red Hills (Tall Timbers),1973,,,,,,,
Red Hills (Tall Timbers),1974,,,,,,,
Red Hills (Tall Timbers),1975,,,,,,,
Red Hills (Tall Timbers),1976,,,,,,,
Red Hills (Tall Timbers),1977,,,,,,,
Red Hills (Tall Timbers),1978,,,,,,,
Red Hills (Tall Timbers),1979,,,,,,,
Red Hills (Tall Timbers),1980,,,,,,,
