Site,Plant,Sex,Individual,PhenotypeA,PhenotypeB
Site 2,5,Female,3,0.7494871653344265,1.5954626707831523
Site 2,5,Female,4,0.12734282447042156,1.7151174701799827
Site 2,5,Female,5,1.081564955112537,1.8538783940448869
Site 2,5,Male,6,1.5793165553263377,1.806349238245044
Site 2,5,Male,7,1.0938202623169935,2.4178994580766027
Site 2,5,Male,8,-0.07412331191449617,1.896574298626697
Site 2,5,Male,9,0.055551547046821526,1.2866499009816796
Site 2,5,Male,10,0.4573262207499551,2.074393740560688
Site 2,5,Male,11,1.206152919841471,1.7529480632739207
Site 2,5,Male,12,0.8490277107578987,1.8890793282710931
Site 2,5,Female,13,0.38846546341553767,2.094496824739544
Site 2,5,Male,14,1.8532907865152894,2.1293309753046166
Site 2,5,Male,15,0.7890509125630222,1.6810798825561981
Site 2,5,Female,16,1.472880597405022,1.201028926420244
Site 2,5,Male,17,0.5864710741752386,1.6459071501211566
Site 2,5,Male,18,1.064002867493518,2.038919940456957
Site 2,5,Female,19,1.5503013112529513,2.3532165189353345
Site 2,5,Male,20,1.3088398189315593,1.7139986739010622
Site 3,1,Male,1,2.32721694840326,2.0010973953681903
Site 3,1,Male,2,1.5817210981135867,2.7007089286542447
Site 3,1,Male,3,2.2333283188156945,1.894337792053625
Site 3,1,Male,4,2.7867199972812218,1.8209162213405239
Site 3,1,Male,5,2.453579811296623,2.1813876877384577
Site 3,1,Female,6,1.7849086389574942,2.733571902472088
Site 3,1,Male,7,2.6155291297339662,3.1950385660807203
Site 3,1,Female,8,2.058953365653919,2.976370040565169
Site 3,1,Male,9,1.6128711964954938,2.480470710626752
Site 3,1,Male,10,1.9219560000912088,3.04065616850818
Site 3,1,Male,11,1.1996330169260534,3.0659354021585337
Site 3,1,Male,12,2.54093718556274,3.518370134564507
Site 3,1,Female,13,2.0232918020310255,2.409531302768337
Site 3,1,Female,14,1.4568668892076126,3.5395521836677997
Site 3,1,Female,15,2.2251582050024994,3.08965236073467
Site 3,1,Male,16,2.482841201496525,3.061667926406907
Site 3,1,Female,17,2.2474940813357027,2.2604358469424652
Site 3,1,Male,18,1.5282165291954393,3.511019661277588
Site 3,1,Female,19,3.0066699393141585,3.0943900129611612
Site 3,1,Male,20,2.0949986585544162,2.472955439175345
Site 3,2,Male,1,3.0808179557181017,2.196564183760394
Site 3,2,Female,2,3.0026642986298486,2.7595107211648275
Site 3,2,Female,3,1.919571346959618,1.6871685492895452
Site 3,2,Male,4,2.386813190883072,2.097796997136765
Site 3,2,Female,5,2.3952798683529153,2.4881238623979343
Site 3,2,Male,6,2.412990159855217,2.3386111716766984
Site 3,2,Female,7,2.645359703110553,2.5980848634536593
Site 3,2,Male,8,1.9724171476521382,2.4304928417506524
Site 3,2,Female,9,1.3726543618438511,2.8041349604657473
Site 3,2,Male,10,1.576800450641522,3.142213577242181
Site 3,2,Male,11,2.3295474991652965,1.9822112871431425
Site 3,2,Female,12,2.0148158735902446,1.3246407382296286
Site 3,2,Female,13,2.7628433117788647,2.267815464581456
Site 3,2,Male,14,1.4879125124932369,3.1895338716329134
Site 3,2,Male,15,2.5412779734623627,3.473476724995843
Site 3,2,Male,16,2.569025938017182,3.0888181862953377
Site 3,2,Male,17,2.6575135429300616,2.6155913349076925
Site 3,2,Female,18,1.4375660223040914,2.6538613731949576
Site 3,2,Male,19,1.1551143251725948,3.314621548550557
Site 3,2,Female,20,1.6861593000658641,2.6860717873967395
Site 3,3,Male,1,1.7605515473079956,2.2779823151664877
Site 3,3,Male,2,2.7762079710202725,3.4617157999502783
Site 3,3,Female,3,1.4084642973065296,2.9131250470883203
Site 3,3,Male,4,2.5299583149935683,3.425095161041347
Site 3,3,Male,5,2.67304802544103,2.550669842832995
Site 3,3,Female,6,1.7200814935222088,3.2545732058740438
Site 3,3,Female,7,2.5203434267781404,2.2434979275075024
Site 3,3,Male,8,2.7309940350030355,2.4710461975825306
Site 3,3,Male,9,2.0275665993460823,3.0072836211388294
Site 3,3,Female,10,2.346088351990828,2.2335511211315904
Site 3,3,Male,11,1.2829884700316843,2.036871174842258
Site 3,3,Male,12,2.6501182032564707,2.6059429606334077
Site 3,3,Female,13,2.6532598214536596,2.4859874201287804
Site 3,3,Female,14,1.957910842188394,2.338690946882741
Site 3,3,Male,15,1.814889460056231,2.2922160827534603
Site 3,3,Male,16,2.7794484938771085,2.666827312436081
Site 3,3,Male,17,2.0373606812850555,2.303805792076492
Site 3,3,Male,18,2.3546765807096355,2.4927869729844634
Site 3,3,Male,19,1.733578840243022,2.9522381638272464
Site 3,3,Female,20,1.3580310965314517,2.3661580366344808
Site 3,4,Female,1,2.434449953816544,2.78652359115312
Site 3,4,Male,2,2.5378529767850764,2.336687548372763
Site 3,4,Female,3,3.19524377070511,3.4712951231030607
Site 3,4,Female,4,2.0638984130327027,1.9185793755635956
Site 3,4,Male,5,1.8232274045717374,2.6933833568388086
Site 3,4,Male,6,2.5340406827863915,1.9565943274964213
Site 3,4,Female,7,1.5926940453041056,2.945179789983293
Site 3,4,Male,8,1.62539587932124,3.143898859708127
Site 3,4,Male,9,2.190170462923758,1.9262530441952266
Site 3,4,Male,10,2.320983730531702,1.6090685312433866
Site 3,4,Female,11,1.5108070675598793,2.1453935402195885
Site 3,4,Female,12,2.464671953373181,2.781358886588036
Site 3,4,Male,13,1.3654076740081518,2.9496847052754953
Site 3,4,Female,14,1.8546104401343109,2.6446647727643837
Site 3,4,Male,15,1.6952709815377722,2.9045665901403637
Site 3,4,Female,16,2.1244388797479616,2.3779136680008808
Site 3,4,Male,17,1.6262292742346223,3.1198652025416784
Site 3,4,Male,18,2.5057912102420183,3.2132902976156137
Site 3,4,Female,19,1.872590857600478,2.709946318089973
Site 3,4,Female,20,2.3361871908205325,3.168115768410895
Site 3,5,Female,1,1.9079594949504863,2.3551022252398166
Site 3,5,Female,2,2.7898893392678548,2.491236485211946
Site 3,5,Female,3,3.2603547584444073,2.881751473874982
Site 3,5,Male,4,2.0734046242137985,3.8234407940552284
Site 3,5,Male,5,2.5781965248879097,2.8618908106118632
Site 3,5,Female,6,2.5118334762825953,2.1332298700824213
Site 3,5,Female,7,2.49376761793418,2.738209686420451
Site 3,5,Male,8,2.729412561959726,2.268283962820266
Site 3,5,Female,9,2.2414588198642393,1.926612161154986
Site 3,5,Male,10,1.4616678017842983,3.102380123253189
Site 3,5,Male,11,1.954180736631057,2.174562760870574
Site 3,5,Male,12,2.1980827188451193,3.1771553653732374
Site 3,5,Male,13,2.3669026101729944,3.140036656803885
Site 3,5,Female,14,1.8026518517553867,1.617587209095217
Site 3,5,Male,15,1.5669572659253372,2.032766184226157
Site 3,5,Male,16,1.2321690934417018,3.7564572137917294
Site 3,5,Male,17,1.2480818360994954,2.809497140042608
Site 3,5,Female,18,1.480979010720816,3.5802771689487436
Site 3,5,Female,19,2.2260076174707994,2.2672794959255693
Site 3,5,Male,20,2.5373821248414776,2.178959747620956
Site 4,1,Male,1,1.803508313922043,2.156083347528221
Site 4,1,Female,2,1.7011047599106892,1.995878693468857
Site 4,1,Female,3,3.012446932266344,1.1235461038490455
Site 4,1,Female,4,2.917505497694791,1.620541457884048
Site 4,1,Male,5,1.9043972475990127,1.100185811516658
Site 4,1,Male,6,2.3757323025662744,1.3140991619935256
Site 4,1,Female,7,1.8314982699551414,2.0806575862810015
Site 4,1,Male,8,2.847136301246782,0.6359877439538644
Site 4,1,Female,9,2.552684382830283,1.1060823160070115
Site 4,1,Female,10,2.406582275194723,2.4121254857443546
Site 4,1,Female,11,2.9590994881490063,1.5878163359002784
Site 4,1,Male,12,2.678387704882578,1.9522637255060078
Site 4,1,Male,13,2.7018973473670145,1.648886036439346
Site 4,1,Female,14,2.98319830714041,1.7472483966620098
Site 4,1,Male,15,2.6106616475595152,1.8058350739369302
Site 4,1,Female,16,2.4968958678614546,1.7765421464720053
Site 4,1,Female,17,2.5860031957123057,2.6252480527815396
Site 4,1,Female,18,2.975273291928415,1.5578038650219272
Site 4,1,Female,19,1.8763588219124956,0.5874270637326577
Site 4,1,Male,20,2.994050822601175,1.9873020999317534
Site 4,2,Female,1,2.5565205659530585,2.593667661091754
Site 4,2,Male,2,2.7461100597112904,1.7026181900539439
Site 4,2,Female,3,2.1189793327015263,2.0910122360477796
Site 4,2,Female,4,2.6314133318256077,1.5192208187496539
Site 4,2,Male,5,2.5276188466099527,2.050485245458021
Site 4,2,Female,6,2.7294149037336566,2.4943236566214964
Site 4,2,Male,7,2.8068190344128214,0.8028177672622823
Site 4,2,Male,8,1.7896541503317085,2.205690485971905
Site 4,2,Female,9,2.998011355350544,1.8891320479325389
Site 4,2,Male,10,3.047945237412606,1.7210229589252655
Site 4,2,Female,11,2.0894616374027315,1.4794011852004736
Site 4,2,Male,12,2.984067182781659,1.838766843932636
Site 4,2,Female,13,3.0784156966698957,2.3972784888538032
Site 4,2,Female,14,2.7187960383915337,1.504466618136997
Site 4,2,Female,15,2.4839267621179606,2.435462302166251
Site 4,2,Female,16,2.4427685593019928,1.5653518278697907
Site 4,2,Male,17,2.2759232147523316,1.6124737413907266
Site 4,2,Male,18,2.834032853150477,1.4053817475655732
Site 4,2,Female,19,2.4364680995362957,0.7626334843617094
Site 4,2,Male,20,2.00942759371077,1.5395383754502519
Site 4,3,Male,1,2.3957687011105624,1.0736774116009151
Site 4,3,Female,2,1.9845548425211041,1.5281940463224124
Site 4,3,Male,3,2.4788386477495923,1.6815489801632693
Site 4,3,Female,4,2.6593194701934837,1.444128238988918
Site 4,3,Male,5,2.3516834266187825,1.49377240746989
Site 4,3,Male,6,2.4022134987002692,1.7411297077572188
Site 4,3,Female,7,2.9593477606337184,2.1468531608833743
Site 4,3,Female,8,2.5547398388309333,1.4680226786574222
Site 4,3,Female,9,2.25918676858743,1.0173919049040974
Site 4,3,Female,10,2.0572216765833478,2.5717095191210397
Site 4,3,Female,11,2.1072733408424833,2.26433003383206
Site 4,3,Female,12,2.128790863496659,1.803885672986161
Site 4,3,Male,13,2.6084731577327336,1.278253411732508
Site 4,3,Female,14,2.2163428721522367,1.961304732579869
Site 4,3,Female,15,2.1610662416490616,1.9335506746935174
Site 4,3,Male,16,2.0130729769984144,1.7000651755933567
Site 4,3,Male,17,2.8236768858071666,1.5146806570880214
Site 4,3,Male,18,2.9779546426086108,2.148359440005465
Site 4,3,Female,19,2.7867625619788616,2.0310340291622424
Site 4,3,Female,20,3.0322329889165305,1.8620110315609302
Site 4,4,Male,1,2.5427876707965202,1.891200841903129
Site 4,4,Male,2,3.144713884319817,1.407854945278183
Site 4,4,Male,3,2.5011533150518352,1.6719542913236074
Site 4,4,Male,4,2.57146482766905,1.83135953901883
Site 4,4,Male,5,2.2203122295315,2.158300223276012
Site 4,4,Female,6,3.1212074383676662,0.6281092149847682
Site 4,4,Female,7,3.280023698182129,1.6187467721036897
Site 4,4,Male,8,2.3309105181553615,2.147783653608577
Site 4,4,Male,9,2.899722150750797,2.776952978755947
Site 4,4,Male,10,2.5188302312258646,2.9043802465511783
Site 4,4,Female,11,2.625289171029134,1.7615633209419197
Site 4,4,Female,12,2.0858686510546613,1.0059314070353074
Site 4,4,Male,13,2.8005566456938893,1.7653014799397353
Site 4,4,Male,14,2.7859242581748522,1.1138239766041327
Site 4,4,Female,15,1.8031580363317765,1.376226162362069
Site 4,4,Female,16,2.8720301770279955,2.1671201023032856
Site 4,4,Female,17,2.3070080159884,2.0515678159801904
Site 4,4,Male,18,2.187416884613369,2.058838309137296
Site 4,4,Male,19,2.3735363480463816,2.367526783627222
Site 4,4,Female,20,2.664076270190643,1.375875480152557
Site 4,5,Female,1,2.4593776122947073,1.530688643992179
Site 4,5,Male,2,2.380298462113635,2.1630182231729753
Site 4,5,Female,3,2.7905481051289573,2.1412343716562745
Site 4,5,Male,4,2.1396684319703336,2.4537888166450506
Site 4,5,Male,5,2.5768768990617206,2.1346276247581297
Site 4,5,Male,6,2.8043014945509372,1.6235013771610496
Site 4,5,Male,7,2.1657189384577546,2.10257833681552
Site 4,5,Female,8,2.088945523421826,2.1915647037483383
Site 4,5,Female,9,2.19044988523655,2.5028957101448306
Site 4,5,Female,10,3.0309520469312927,1.5760474283195616
Site 4,5,Male,11,1.8922055175768808,2.243968778395077
Site 4,5,Female,12,3.0079079996114975,1.6950803572600774
Site 4,5,Male,13,2.3191049299529642,1.415054367019644
Site 4,5,Female,14,2.835808568029317,2.333282163657858
Site 4,5,Male,15,2.074497053895046,2.5523520722244912
Site 4,5,Female,16,2.34358848273073,1.9183920473409604
Site 4,5,Male,17,2.187563908953039,1.4230534063260758
Site 4,5,Female,18,2.3571889361509664,2.1386704128727736
Site 4,5,Female,19,2.418647678104273,1.6554027830932985
Site 4,5,Female,20,2.8989531136138487,1.7065082994086742
Site 5,1,Female,1,2.650736526935471,3.3908814862462986
Site 5,1,Male,2,2.477504953787318,2.345486531061743
Site 5,1,Male,3,3.54216076808601,2.665729427193297
Site 5,1,Female,4,3.13581273662315,3.6576103299491742
Site 5,1,Female,5,3.35407569247136,3.350145901307483
Site 5,1,Female,6,3.468000860669793,1.8730279044667184
Site 5,1,Male,7,3.6231866142344225,2.099474957254036
Site 5,1,Male,8,2.9743943321769626,3.2000420125904974
Site 5,1,Male,9,3.5744553118310316,2.7349362009314695
Site 5,1,Female,10,2.6887829075220293,2.8918804733804566
Site 5,1,Female,11,3.8509264215136025,3.1223953770790525
Site 5,1,Female,12,3.0233234928286463,3.236262243559996
Site 5,1,Male,13,3.1645655937316866,3.367812332536983
Site 5,1,Female,14,2.5965884212285255,3.347549377886519
Site 5,1,Male,15,3.2752560520291714,2.317043674492575
Site 5,1,Male,16,2.5503313053918726,2.049552559868732
Site 5,1,Female,17,3.616405708756185,2.8181369450813936
Site 5,1,Male,18,2.660212310014278,3.5772736419337257
Site 5,1,Female,19,2.4478892461925015,2.940069837022102
Site 5,1,Female,20,2.9396856836661445,3.636692249866163
Site 5,2,Female,1,2.4767186019585634,2.4480653254074225
Site 5,2,Female,2,2.6127633724839736,3.195215714305659
Site 5,2,Female,3,3.040176502480718,2.4727424200745505
Site 5,2,Male,4,2.7509630754241545,2.0560837879049183
Site 5,2,Male,5,2.456053392244729,1.9931463435358299
Site 5,2,Male,6,2.4675228626294787,2.3031763665391836
Site 5,2,Female,7,2.961814562482186,2.340674024699682
Site 5,2,Male,8,2.681978181753916,2.4233232919963057
Site 5,2,Male,9,3.0894941565461176,3.0875935623965587
Site 5,2,Female,10,3.659057269853077,3.6016786925051747
Site 5,2,Male,11,3.5114291169981593,2.72498896106216
Site 5,2,Male,12,3.6075707940429242,3.563173999333855
Site 5,2,Male,13,3.390837061737674,3.0650756133897508
Site 5,2,Male,14,3.3337393104735935,2.50000751972046
Site 5,2,Female,15,3.213085414550256,2.9368701673110755
Site 5,2,Male,16,2.2889701998576983,2.9459570188460615
Site 5,2,Female,17,3.2966100465512334,2.9116728174841064
Site 5,2,Male,18,3.560593827389206,3.2565281000135062
Site 5,2,Female,19,3.263239347282121,2.5691882112067788
Site 5,2,Female,20,2.9779597561152835,2.3874976018831138
Site 5,3,Male,1,2.6463732334771355,2.3312573106449097
Site 5,3,Female,2,2.390539931916044,3.842387932513982
Site 5,3,Male,3,3.460244982405138,1.6637789295172116
Site 5,3,Male,4,2.7458847878838215,2.4133658006551957
Site 5,3,Male,5,2.763092890224628,2.19168509811366
Site 5,3,Female,6,2.993686273385563,2.6341347135682653
Site 5,3,Male,7,3.1418532408518702,3.670836464990547
Site 5,3,Female,8,3.1742920742763703,2.492810657393462
Site 5,3,Female,9,3.10175162158916,3.085889487337355
Site 5,3,Male,10,3.9180448076913796,3.2263449042091525
Site 5,3,Female,11,3.3828048409438702,2.400554556493044
Site 5,3,Female,12,2.22675569651657,2.229679909778529
Site 5,3,Male,13,2.8446794366304333,2.812994924455005
Site 5,3,Male,14,3.508132296726326,2.907554630940202
Site 5,3,Male,15,3.5889407952516805,2.5618757014684257
Site 5,3,Female,16,2.645710602537549,2.555443285310824
Site 5,3,Male,17,2.8511955272705087,2.679754231852614
Site 5,3,Male,18,2.7001481862207264,2.4583424164323278
Site 5,3,Male,19,3.3171113493153723,2.4981683655519227
Site 5,3,Female,20,3.1407987561557884,2.7928107906219473
Site 5,4,Male,1,3.221373574109599,2.8946719445362876
Site 5,4,Female,2,2.89672947955942,2.896235145218057
Site 5,4,Female,3,2.7493017007563942,2.368585256260923
Site 5,4,Female,4,2.5229622803852725,2.653439314638547
Site 5,4,Female,5,3.5775300231476725,2.198079082810267
Site 5,4,Female,6,3.1790463083472877,3.257515010696427
Site 5,4,Female,7,2.8572487675402933,3.0236934201055075
Site 5,4,Male,8,3.5874625193958294,4.29198547582212
Site 5,4,Male,9,3.852305750030345,2.1274179348200506
Site 5,4,Female,10,3.650819556612114,3.1175477195478347
Site 5,4,Female,11,3.0149911139323,3.1552204638204273
Site 5,4,Female,12,2.9092332992105603,3.4906883274118337
Site 5,4,Female,13,3.306168877949551,3.1083941997882896
Site 5,4,Male,14,2.5750819411096373,2.815339149085417
